2	Cinnamon and Chronic Diseases.Cinnamon (Cinnamomum zeylanicum and Cinnamon cassia), the eternal tree of tropical medicine, belongs to the Lauraceae family and is one of the most important spices used daily by people all over the world. It contains a lot of manganese, iron, dietary fiber, and calcium. Cinnamon contains derivatives, such as cinnamaldehyde, cinnamic acid, cinnamate, and numerous other components such as polyphenols and antioxidant, anti-inflammatory, antidiabetic, antimicrobial, anticancer effects. Several reports have dealt with the numerous properties of cinnamon in the forms of bark, essential oils, bark powder, and phenolic compounds, and each of these properties can play a key role in human health. Recently, many trials have explored the beneficial effects of cinnamon in Alzheimer's disease, diabetes, arthritis, and arteriosclerosis, but still we need further investigations to provide additional clinical evidence for this spice against cancer and inflammatory, cardioprotective, and neurological disorders.	cinnamon cancer
1	Linalool Affects the Antimicrobial Efficacy of Essential Oils.The high concentrations of essential oils are generally required to receive microbial purity of the products (cosmetics, medicine). On the other hand, their application due to the high concentration of essential oils may be limited by changes in organoleptic and textural quality of the products, as well as they cause irritation and allergies in users. Addition of linalool to essential oil may significantly enhance its antimicrobial effectiveness and reduce their concentrations in products, taking advantage of their synergistic and additive effects. The aim of the study was to compare antimicrobial activity of essential oil alone and in combination with linalool. The antimicrobial activity of the essential oil of Thymus vulgaris, Juniperus communis, Pelargonium graveolens, Citrus bergamia, Citrus grandis, Lavandula angustifolia, Cinnamomum zeylanicum, Melaleuca alternifolia, Syzygium aromaticum, linalool and their combination was investigated against bacteria and fungi using the disc diffusion method. The addition of linalool to S. aromaticum oil in a synergistic manner enhanced its antimicrobial efficacy against P. aeruginosa and A. brasiliensis. Moreover, the additive interaction between this oil and linalool was observed against S. aureus, E. coli and C. albicans. It was also found that linalool in an additive manner increased the antimicrobial effectiveness of T. vulgaris oil against P. aeruginosa. The antimicrobial properties of mixture of essential oils with their active constituents may be used for creating new strategies to maintain microbiological purity of products. 	pelargonium graveolens linalool
1	Comparison on the fatty acid profiles of liver, subcutaneous fat and muscle from feedlot steers finished on diets supplemented with or without cinnamaldehyde or monensin.BACKGROUND: Cinnamaldehyde (CIN) is the main active component of cinnamon (Cinnamomum cassia) oil and has been tested as alternative feed additive in cattle production. Little information was available on the effect of dietary CIN in comparison to monensin (MO) on beef fatty acid (FA) profile. This study analyzed FA profiles of liver, subcutaneous fat and pars costalis diaphragmatis (PCD) muscle obtained from steers (n = 70) finished on diets: control, a barley grain-silage feedlot diet; 330 mg/head.day MO; and 400, 800 or 1600 mg/head.day CIN treatments. RESULTS: Inclusion of MO or CIN did not affect total saturated, unsaturated, polyunsaturated FA and individual FA in the various tissues with exceptions that proportion of palmitic acid in PCD muscle was increased by 800 mg/steer.day CIN (P &lt; 0.05). There were positive correlations (P &lt; 0.05) on oleic, linoleic, conjugated linoleic acid (CLA)-c9,t11 and 18:1-t10 between the subcutaneous fat and PCD muscle, and on alpha-linolenic acid, CLA-c9,t11 and 18:1-t10 between PCD muscle and liver, whereas correlations on the FA between the subcutaneous fat and liver were not significant except for 18:1-t10 (P &lt; 0.01). CONCLUSION: The results indicate that the supplementation of CIN and MO to feedlot diet has limited effect on beef FA profiles.	cinnamomum cassia palmitic acid
2	In vitro anti-Helicobacter pylori action of 30 Chinese herbal medicines used to treat ulcer diseases.Infection by Helicobacter pylori has been ascertained to be an important etiologic impetus leading usually to chronic active gastritis and gastric ulcer with growing incidences worldwide. Utilizing as the test pathogen a standard and five clinic strains of Helicobacter pylori, the antibacterial action was assessed in vitro with ethanol extracts of 30 Chinese herbal medicines which have been frequently prescribed since ancient times for treating gastritis-like disorders. Among the 30 tested materials, the ethanol extracts of Abrus cantoniensis (Fabaceae), Saussurea lappa (Asteraceae) and Eugenia caryophyllata (Myrtaceae) were strongly inhibitory to all test strains (MICs: approximately 40 microg/ml), and Hippophae rhamnoides (Elaeagnaceae), Fritillaria thunbergii (Liliaceae), Magnolia officinalis and Schisandra chinensis (Magnoliaceae), Corydalis yanhusuo (Papaveraceae), Citrus reticulata (Rutaceae), Bupleurum chinense and Ligusticum chuanxiong (Apiaceae) substantially active with MICs close to 60.0 microg/ml. As to antibacterial actions of the aqueous extracts of the same drugs, those derived from Cassia obtusifolia (Fabaceae), Fritillaria thunbergii and Eugenia caryophyllata were remarkably inhibitory against all the six Helicobacter pylori strains (MICs: approximately 60 microg/ml). The work compared almost quantitatively the magnitude of the anti-Helicobacter pylori actions of the 30 most prescribed gastritis-treating Chinese herbal drugs, and located as well some source plants where potent anti-Helicobacter pylori phytochemicals could be characterized.	magnolia officinalis gastric ulcer
2	[Mechanisms and effects of Abelmoschus manihot preparations in treating chronic kidney disease].Abelmoschus manihot (AM) is a medicinal plant rich in twenty kinds of separated active bio-components including flavones, polysaccharides, trannic acid, and long chain hydrocarbons. Among these, total flavones of A. manihot (TFA) are the major active component. In this review, the mechanisms of Huangkui capsule will be discussed as a preparation of AM to treat chronic kidney disease (CKD) by improving immunological reaction, inflammation, renal fibrosis, and renal tubular epithelial injury. Additionally, it has been reported that Huangkui capsule can ameliorate some clinical symptoms, proteinuria, hematuria, and renal function in patients with common CKD, such as nephrotic syndrome, diabetic nephropathy, Henoch-Schonlein purpura nephritis, IgA nephropathy, and membranous nephropathy.	AM henoch-schonlein purpura nephritis
2	The effect of medicinal plants of Islamabad and Murree region of Pakistan on insulin secretion from INS-1 cells.In vitro testing of the extracts of medicinal plants collected from Islamabad and the Murree region on insulin secretagogue activity was carried out. Dried ethanol extracts of all plants (ZH1-ZH19) were dissolved in ethanol and DMSO, and tested at various concentrations (between 1 and 40 microg/mL) for insulin release from INS-1 cells in the presence of 5.5 mM glucose. Glibenclamide was used as a control. Promising insulin secretagogue activity in various plant extracts at 1, 10, 20 and 40 microg/mL was found, while in some cases a decrease in insulin secretion was also observed. Artemisia roxburghiana, Salvia coccinia and Monstera deliciosa showed insulin secretagogue activity at 1 microg/mL (p &lt; 0.05) while Abies pindrow, Centaurea iberica and Euphorbia helioscopia were active at 10 microg/mL (p &lt; 0.05). Extracts of Bauhinia variegata and Bergenia himalacia showed effects at 20 microg/mL (p &lt; 0.05), and Taraxacum officinale and Viburnum foetens at 40 microg/mL (p &lt; 0.05). Insulin secretagogue activity could not be detected in the extracts of Adhatoda vasica, Cassia fistula, Chrysanthemum leucanthemum, Morus alba, Plectranthus rugosus, Peganum harmala and Olea ferruginea. The results suggest that medicinal plants of Islamabad and the Murree region of Pakistan may be potential natural resources for antidiabetic compounds.	centaurea iberica insulin secretion
1	Chemical and biological assessment of Ziziphus jujuba fruits from China: different geographical sources and developmental stages.Chinese date, the fruit of Ziziphus jujuba Mill., has thousands of years cultivation history, and about 700 cultivars of dates in China. Two types of dates are commonly found in the market: (i) fresh immature dates consumed as fruits, and (ii) dried mature dates used as Chinese medicines. Here, chemical and biological properties of these dates were revealed. Different sources of dates showed similar chemical profiles; however, the amounts of identified chemicals showed a great variation. The amount of nucleotides, flavonoids and polysaccharides in dates could be affected by its maturity and drying process. In parallel, the antioxidative functions of their extracts were compared. The date extracts protected PC12 cells against tBHP-induced cytotoxicity, and which also stimulated the transcriptional activity of antioxidant response element. The antioxidative effects were varied among different dates. The current results suggested the optimization of sources and specific usage of different maturity dates. 	ziziphus jujuba mill flavonoids
1	Quantitative and pattern recognition analyses of magnoflorine, spinosin, 6'''-feruloyl spinosin and jujuboside A by HPLC in Zizyphi Semen.Two rapid and simple HPLC methods with UV detector to determine three main compounds (magnoflorine, spinosin and 6'''-feruloyl spinosin) and evaporative light scattering detector (ELSD) to determine jujuboside A were developed for the chemical analyses of Zizyphi Semen. Magnoflorine, spinosin, and 6'''-feruloyl spinosin were separated with an YMC J'sphere ODS-H80 column (250 mm x 4.6 mm, 4 mum) by the gradient elution followed by the isocratic elution using methanol with 0.1 % formic acid and water with 0.1 % formic acid as the mobile phase. The flow rate was 1.0 mL/min. Jujuboside A was separated by HPLC-ELSD with YoungJinBioChrom Aegispak C18-L column (250 mm x 4.6 mm, 5 mum) column in a gradient elution using methanol with 0.1 % formic acid (A) and water with 0.1 % formic acid as the mobile phase. These two methods were fully validated with respect to linearity, precision, accuracy, stability, and robustness. These HPLC methods were applied successfully to quantify four compounds in a Zizyphi Semen extract. The HPLC analytical methods were validated for pattern recognition analysis by repeated analysis of 91 seed samples corresponding to 48 Zizyphus jujuba var. spinosa (J01-J48) and 43 Zizyphus mauritiana (M01-M43). The results indicate that these methods are suitable for a quality evaluation of Zizyphi Semen.	zizyphus jujuba var spinosin
2	The influence of air-dispersed essential oils from lemon (Citrus limon) and silver fir (Abies alba) on airborne bacteria and fungi in hospital rooms.Airborne bacteria and fungi are an ongoing problem in hospitals. Because of the antimicrobial activities of essential oils (EOs) dispersion of EOs into the air may help to reduce this contamination. The aim of this study was to evaluate the efficacy of the dispersion of selected EOs in reducing the microbial contamination in two hospital wards. The study was carried out at two wards of a 1,227-bed acute-care hospital in Austria. The concentration of airborne bacteria and fungi was measured in patient rooms before and after dispersion of a mixture of Citrus limon EO and Abies alba EO. Before dispersion of the EOs in both wards the mean concentration of bacteria was in a typical range (123 colony forming units (CFU) m-3 and 104 CFU m-3) while the mean concentration of fungi differed substantially (155 CFU m-3 and 28 CFU m-3). After dispersion of the EOs, a reduction in both bacterial and fungal contamination was observed. In the first two hours the mean concentration of airborne bacteria and fungi was reduced by approximately 40% and 30%-60% respectively. The selected EO mixture is effective in reducing the microbial contamination of the indoor air.	abies alba essential oils
2	Chinese herbal medicine for insomnia: a systematic review of randomized controlled trials.Chinese herbal medicine (CHM), either in single herb or in herbal formula, has been used to treat insomnia for more than 2000 years. A systematic review including Chinese and English literature of randomized controlled trials was conducted to examine the efficacy, safety, and composition of CHM for insomnia. Among the 217 studies we have reviewed, only eight had a Jadad score &gt;=3, and seven out of these eight studies had at least one domain with high risks of bias. Meta-analyses of the studies with Jadad score &gt;=3 found that CHM was similar to Western medication (three studies) and placebo (three studies) in treating insomnia. Due to the poor methodological quality of the studies and the small number of trials included in meta-analyses, the current evidence is insufficient to support the efficacy of CHM for insomnia. The frequency of adverse events associated with CHM was similar to that of placebo, but lower than with Western medication. Gui Pi Tang was the most commonly used standardized formula, while Suan Zao Ren (Ziziphus jujuba) was the most frequently used single herb. Further studies with a double-blind placebo-controlled design are needed to accurately determine the benefits and risks of CHM for insomnia.	ziziphus jujuba CHM
2	An unusual manifestation of Abrus precatorius poisoning: a report of two cases.Abrus precatorius seeds are highly toxic and are often ingested as a means of suicide in India. Hemorrhagic gastroenteritis with erosions, hemolysis, acute renal damage, hepatotoxicity with elevated liver enzymes, and seizures are common manifestations of toxicity. We report two cases of Abrus precatorius poisoning with raised intracranial pressure (ICP) and papilledema that have not been described earlier in literature. One patient recovered completely with conservative management to lower raised ICP while the other patient expired before effective treatment could be institutedd. The cases are being reported to propose the need for routine fundus examination and brain imaging in severe abrus poisoning with CNS toxicity, as early institution of treatment for cerebral edema measures may be life saving.	abrus precatorius toxicity
1	On the possibility of lipid-induced regulation of conformation and immunogenicity of influenza a virus H1/N1 hemagglutinin as antigen of TI-complexes.The tubular immunostimulating complex (TI-complex) consisting of cucumarioside A2-2, cholesterol and monogalactosyldiacylglycerol (MGDG) from marine macrophytes is the perspective antigen delivery system for subunit vaccines. MGDG is a lipid matrix for the protein antigen incorporated in the TI-complex. The aim of the present work was to study the influence of MGDGs from different macrophytes on conformation and immunogenicity of the secreted recombinant uncleaved hemagglutinin monomer (HA0S) of influenza A virus H1/N1. Differential scanning calorimetry, fluorescence spectroscopy and circular dichroism showed a dependence of the conformational changes of HA0S on the microviscosity of MGDG. The most viscous MGDG from Zostera marina induced the strongest rearrangements in protein conformation. Immunization of mice with HA0S within TI-complexes comprising different MGDGs resulted in an approximately 2-fold increase of the levels of anti-HA0S antibodies and granulocyte-macrophage colony-stimulating factor (GM-CSF) compared with those induced by HA0S alone. TI-complexes based on MGDG from Z. marina stimulated the maximal production of GM-CSF. However, humoral immune response (anti-HA0S antibodies), unlike cell-mediated immune response (GM-CSF), did not depend on the physicochemical properties of MGDGs. It is assumed that this is due to the different localization and conformational lipid sensitivity of the HA0S regions, which are responsible for these types of immune responses.	z. marina MGDG
2	[Antidiabetic activity of Zizyphus mauritiana Lam (Rhamnaceae)].In traditonnal medicine, several plants were used in diabetes treatment. Among them, the aqueous extract from the leaves of Zizyphus mauritiana Lam (Rhamnaceae) was studied. The extract was administrated per os to Wistar rats made diabetics either temporarily by oral glucose tolerance test (first case) or definetely by subcutaneous injection of alloxan (second case). It was observed a striking decrease of the hyperglycemic arrow (p &lt; 0.05) in the first case, with 300 mg/kg administrated 90 minutes before starting the test. In the second case, the results obtained with a dose of 300 mg/kg once or twice a day were identical as those with glibenclamide at 0.2 mg/kg per day. So, the antidiabetic activity of Zizyphus mauritiana Lam was experimentally born out but it has to be standardized for common use.	zizyphus mauritiana diabetics
1	Pressurized liquid extraction and GC-MS analysis for simultaneous determination of seven components in Cinnamomum cassia and the effect of sample preparation.A pressurized liquid extraction and GC-MS method was developed for simultaneous quantitative determination of the seven components, including cinnamaldehyde, copaene, cinnamic acid, coumarin, 2-methoxycinnamaldehyde, 2-methoxycinnamic acid and safrole in Cinnamomum cassia. The results showed that methanol and ethanol was not available for extraction of cinnamaldehyde and 2-methoxycinnamaldehyde due to aldol reaction. The developed method was validated to be sensitive, accurate and simple, and was successfully employed for the analysis of 15 samples of C. cassia. The contents of the investigated components were significantly variant and cinnamaldehyde is the most abundant compound, but safrole was not detected in all samples.	c. cassia 2-methoxycinnamaldehyde
2	The potential of cinnamon to reduce blood glucose levels in patients with type 2 diabetes and insulin resistance.AIM: Cinnamon has a long history as an antidiabetic spice, but trials involving cinnamon supplementation have produced contrasting results. The aim of this review was to examine the results of randomized controlled clinical trials of cinnamon and evaluate the therapeutic potential amongst patients with diabetes and insulin-resistant patients, particularly the ability to reduce blood glucose levels and inhibit protein glycation. METHODS: A systematic electronic literature search using the medical subject headings 'cinnamon' and 'blood glucose' was carried out to include randomized, placebo-controlled in vivo clinical trials using Cinnamomum verum or Cinnamomum cassia conducted between January 2003 and July 2008. RESULTS: Five type 2 diabetic and three non-diabetic studies (total N = 311) were eligible. Two of the diabetic studies illustrated significant fasting blood glucose (FBG) reductions of 18-29% and 10.3% (p &lt; 0.05), supported by one non-diabetic trial reporting an 8.4% FBG reduction (p &lt; 0.01) vs. placebo, and another illustrating significant reductions in glucose response using oral glucose tolerance tests (p &lt; 0.05). Three diabetic studies reported no significant results. CONCLUSIONS: Whilst definitive conclusions cannot be drawn regarding the use of cinnamon as an antidiabetic therapy, it does possess antihyperglycaemic properties and potential to reduce postprandial blood glucose levels. Further research is required to confirm a possible correlation between baseline FBG and blood glucose reduction and to assess the potential to reduce pathogenic diabetic complications with cinnamon supplementation.	cinnamomum cassia diabetic
3	Prophylactic effects of quercetin and hyperoside in a calcium oxalate stone forming rat model.Quercetin and hyperoside (QH) are the two main constituents of the total flavone glycosides of Flos Abelmoschus manihot, which has been prescribed for treating chronic kidney disease for decades. This study aimed to investigate the effect of QH on calcium oxalate (CaOx) formation in ethylene glycol (EG)-fed rats. Rats were divided into three groups: an untreated stone-forming group, a QH-treated stone-forming group (20 mg/kg/day) and a potassium citrate-treated stone-forming group (potassium citrate was a worldwide-recognized calculi-prophylactic medicine). Ethylene glycol (0.5 %) was administered to the rats during the last week, and vitamin D3 was force-fed to induce hyperoxaluria and kidney calcium oxalate crystal deposition. 24 h urine samples were collected before and after inducing crystal deposits. Rats were killed and both kidneys were harvested after 3 weeks. Bisected kidneys were examined under a polarized light microscope for semi-quantification of the crystal-formation. The renal tissue superoxide dismutase and catalase levels were measured by Western blot. QH and potassium citrate have the ability to alkalinize urine. The number of crystal deposits decreased significantly in the QH-treated stone-forming group as compared to the other groups. Superoxide dismutase and catalase levels also increased significantly in the QH-treated stone-forming group, as compared with the untreated stone-forming group. QH administration has an inhibitory effect on the deposition of CaOx crystal in EG-fed rats and may be effective for preventing stone-forming disease.	hyperoside chronic kidney disease
1	Comment on Effect of drying of jujubes (Ziziphus jujuba Mill.) on the contents of sugars, organic acids, alpha-tocopherol, beta-carotene, and phenolic compounds.	ziziphus jujuba mill beta-carotene
1	Bioactive A-type proanthocyanidins from Cinnamomum cassia.Two trimeric proanthocyanidins, cinnamtannin B-1 (1) and cinnamtannin D-1 (2), have been isolated from the bark of Cinnamomum cassia along with the known tetramer parameritannin A-1 (3) and a previously unreported tetramer, named cassiatannin A (4). The structures of 1-4 were elucidated on the basis of 1D and 2D NMR, MS, and CD analyses and compared to the reported data. Proanthocyanidins (1-4) possess significant in vitro inhibitory activity against cyclooxygenase-2 (COX-2) at micromolar concentrations.	cinnamomum cassia cinnamtannin d-1
